"","runset","outroot","outno","fmtno","outdir","indir","gdem_dir","priordb","case","pass","day","smearing","land_sig0","water_sig0","gdem_name","notes","rtviz_url","refdem","refdem_res","tile"
"1","roruns","./output/sac",1,1,"./output/sac01","$SACDIR1","$SACDIR1","$PRIORLOC1","Sacramento",249,NA,"not_spec","not_spec","not_spec","gdem_truth.LeftSwath.nc","1/25/19 pixc from Brent","https://osu.box.com/shared/static/ltg78si99xycpnyizfcs3wg97mz14r6c.Rdata","GDEM",NA,NA
"2","roruns","./output/sac",2,2,"./output/sac02","$SACDIR1","$SACDIR1","$PRIORLOC2","Sacramento",249,NA,"not_spec","not_spec","not_spec","gdem_truth.LeftSwath.nc","1/25/19 pixc from Brent","https://osu.box.com/shared/static/00t4latow69mlax09902k5qw6bc9z190.rdata","GDEM",NA,NA
"3","roruns","./output/sac",3,3,"./output/sac03","$SACDIR2","$SACDIR2","$PRIORLOC1","Sacramento",249,109,"50m","-5dB","10dB","gdem_truth.LeftSwath.nc","","https://osu.box.com/shared/static/30duel7pdx7m8mqyqnalaq5n4nvskmr8.rdata","GDEM",NA,NA
"4","roruns","./output/sac",4,4,"./output/sac04","$SACDIR3","$SACDIR3","$PRIORLOC1","Sacramento",249,109,"50m","68 pctile","3dB wind calc","gdem_truth.LeftSwath.nc","darkwater","https://osu.box.com/shared/static/d3kz6euemwlljosk7llgfu3mmwxwfevv.rdata","GDEM",NA,NA
"5","roruns","./output/sac",5,5,"./output/sac05","$SACDIR4","$SACDIR4","$PRIORLOC1","Sacramento",249,109,"50m","-100dB","3dB wind calc","gdem_truth.LeftSwath.nc","darkwater","https://osu.box.com/shared/static/73r3mufapgds85i4ntq44fe1vp68c3x6.rdata","GDEM",NA,NA
"6","roruns","./output/sac",6,6,"./output/sac06","$SACDIR5","$SACDIR5","$PRIORLOC1","Sacramento",249,109,"50m","-100dB","10dB","gdem_truth.LeftSwath.nc","","https://osu.box.com/shared/static/tabbdngum17n4j3nlb74r68sm6xy9hb3.rdata","GDEM",NA,NA
"7","roruns","./output/sac",7,7,"./output/sac07","$SACDIR6","$SACDIR6","$PRIORLOC1","Sacramento",249,220,"50m","-5dB","10dB","gdem_truth.LeftSwath.nc","","https://osu.box.com/shared/static/3i0fykevrzwljkwvnan1zhiaf5yfg6sg.rdata","GDEM",NA,NA
"8","roruns","./output/sac",8,8,"./output/sac08","$SACDIR7","$SACDIR7","$PRIORLOC1","Sacramento",249,220,"50m","68 pctile","3dB wind calc","gdem_truth.LeftSwath.nc","","https://osu.box.com/shared/static/gs1sfasqkcecx3spugryrodwn2ct2zxv.rdata","GDEM",NA,NA
"9","roruns","./output/sac",9,9,"./output/sac09","$SACDIR8","$SACDIR8","$PRIORLOC1","Sacramento",249,220,"50m","-100dB","3dB wind calc","gdem_truth.LeftSwath.nc","","https://osu.box.com/shared/static/mbh9k4rb7nxjoed9e46xx5g3bflwbnb2.rdata","GDEM",NA,NA
"10","roruns","./output/sac",10,10,"./output/sac10","$SACDIR9","$SACDIR9","$PRIORLOC1","Sacramento",249,220,"50m","-100dB","10dB","gdem_truth.LeftSwath.nc","","https://osu.box.com/shared/static/xmuan5dcc0rebes6s8x3usk2slc83n7g.rdata","GDEM",NA,NA
