outroot,outno,fmtno,outdir,indir,gdem_dir,priordb,case,pass,day,smearing,land_sig0,water_sig0,gdem_name,notes,rtviz_url,refdem,refdem_res,tile
./output/sac,37,37,./output/sac/37,slc-sac/output_sac_pixc_dir_multi/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_085L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_multi/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_085L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC3,Sacramento,0249,220,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,,NA,GDEM,,085L
./output/sac,38,38,./output/sac/38,slc-sac/output_sac_pixc_dir_rui_tile/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_085L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_multi/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_085L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC3,Sacramento,0249,220,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,,NA,GDEM,,085L
./output/sac,39,39,./output/sac/39,slc-sac/output_sac_pixc_dir_0249_single_10m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC3,Sacramento,0249,220,50m,-5dB,10dB,gdem_truth.LeftSwath_220_249.nc,,NA,GDEM,10m,001L
./output/sac,40,40,./output/sac/40,slc-sac/output_sac_pixc_dir_0264_single_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC3,Sacramento,0264,110,50m,-5dB,10dB,gdem_truth.LeftSwath_110_264.nc,,NA,GDEM,10m,001L
./output/sac,41,41,./output/sac/41,slc-sac/output_sac_pixc_dir_0264_single_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC3,Sacramento,0264,110,50m,-5dB,10dB,gdem_truth.RightSwath_110_264.nc,,NA,GDEM,10m,001R
./output/sac,42,42,./output/sac/42,slc-sac/output_sac_pixc_dir_0527_single_10m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC3,Sacramento,0527,119,50m,-5dB,10dB,gdem_truth.RightSwath_119_527.nc,,NA,GDEM,10m,001R
./output/sac,43,43,./output/sac/43,slc-sac/output_sac_pixc_dir_0249_single_5m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC3,Sacramento,0249,220,50m,-5dB,10dB,gdem_truth.LeftSwath_220_249.nc,,NA,GDEM,5m,001L
./output/sac,44,44,./output/sac/44,slc-sac/output_sac_pixc_dir_0249_single_3m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC3,Sacramento,0249,220,50m,-5dB,10dB,gdem_truth.LeftSwath_220_249.nc,,NA,GDEM,3m,001L
./output/sac,45,45,./output/sac/45,slc-sac/output_sac_pixc_dir_0264_single_3m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC3,Sacramento,0264,110,50m,-5dB,10dB,gdem_truth.RightSwath_110_264.nc,,NA,GDEM,3m,001R
./output/sac,46,46,./output/sac/46,slc-sac/output_sac_pixc_dir_0264_single_5m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC3,Sacramento,0264,110,50m,-5dB,10dB,gdem_truth.RightSwath_110_264.nc,,NA,GDEM,5m,001R
./output/sac,47,47,./output/sac/47,slc-sac/output_sac_pixc_dir_0527_single_3m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC3,Sacramento,0527,119,50m,-5dB,10dB,gdem_truth.RightSwath_119_527.nc,,NA,GDEM,3m,001R
./output/sac,48,48,./output/sac/48,slc-sac/output_sac_pixc_dir_0527_single_5m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC3,Sacramento,0527,119,50m,-5dB,10dB,gdem_truth.RightSwath_119_527.nc,,NA,GDEM,5m,001R
